supersense_category	values	
noun.Tops	109	0.30%
noun.act	945	2.64%
noun.animal	631	1.76%
noun.artifact	3457	9.65%
noun.attribute	593	1.65%
noun.body	1043	2.91%
noun.cognition	671	1.87%
noun.communication	1533	4.28%
noun.event	265	0.74%
noun.feeling	273	0.76%
noun.food	127	0.35%
noun.group	823	2.30%
noun.location	726	2.03%
noun.motive	25	0.07%
noun.object	242	0.68%
noun.person	4691	13.09%
noun.phenomenon	104	0.29%
noun.plant	47	0.13%
noun.possession	172	0.48%
noun.process	23	0.06%
noun.quantity	255	0.71%
noun.relation	94	0.26%
noun.shape	28	0.08%
noun.state	608	1.70%
noun.substance	350	0.98%
noun.time	831	2.32%
verb.body	377	1.05%
verb.change	1178	3.29%
verb.cognition	1779	4.96%
verb.communication	3394	9.47%
verb.competition	98	0.27%
verb.consumption	182	0.51%
verb.contact	1525	4.26%
verb.creation	275	0.77%
verb.emotion	485	1.35%
verb.motion	1974	5.51%
verb.perception	1279	3.57%
verb.possession	1045	2.92%
verb.social	1095	3.06%
verb.stative	2479	6.92%
verb.weather	5	0.01%
