supersense_category	text
noun.person	Spence Olham
verb.possession	earned
noun.person	Olham
noun.person	newsmachines
noun.communication	dispatches
noun.person	Outspacers
noun.time	vacation
noun.act	camping
noun.artifact	poison oak
noun.object	gopher
noun.location	Sutton Wood
noun.person	Mary
verb.change	clear away
noun.act	flash fire
noun.person	Olham
verb.body	sagged
noun.group	cause
verb.emotion	cares
verb.contact	clamped
noun.artifact	needle - ships
noun.person	Olham
noun.location	Alpha Centauri
verb.motion	bypassed
noun.location	Earth cruisers
noun.animal	turtles
noun.location	Terra
verb.communication	demonstrated
noun.group	Westinghouse Labs
noun.location	Earth cities
noun.person	Outspacers
verb.competition	win
verb.creation	working
noun.person	Olham
noun.communication	Sword
noun.location	Damocles
verb.cognition	feels
noun.artifact	porch
noun.artifact	shoot
noun.animal	bug
noun.act	Project
noun.location	Nelson
noun.object	bug
noun.person	Mary
noun.person	Spence
noun.person	Olham
noun.communication	sigh
noun.person	Nelson
noun.person	Olham
noun.animal	bug
noun.person	Nelson
noun.artifact	asteroid
verb.social	abandoned
noun.group	Project
noun.communication	propaganda
noun.communication	newsmachines
noun.person	Major Peters
noun.person	Nelson
noun.person	Olham
noun.person	Peters
noun.person	Olham
noun.group	Project
noun.person	Peters
noun.person	Nelson
noun.person	Olham
noun.animal	bug
noun.quantity	speed
verb.motion	flashing
noun.location	Project
noun.person	Olham
verb.communication	permitted
noun.person	Peters
noun.group	security organ
noun.person	Olham
noun.person	Mr Olham
noun.person	Olham
noun.person	Peters
verb.contact	arrest
noun.person	Nelson
noun.person	Olham
noun.person	Nelson
verb.body	took
verb.body	let
noun.person	Peters
noun.person	Olham
noun.person	Olham
verb.communication	murmured
noun.artifact	shoot car
verb.motion	rushed up
verb.motion	heading into
noun.person	Olham
noun.person	Peters
noun.person	Olham
noun.animal	bug
noun.person	Peters
noun.artifact	vidscreen
noun.person	security chief
noun.act	complications
noun.animal	bug
noun.artifact	craft
noun.event	failure
noun.person	security chief
noun.person	Olham
noun.person	Olham
noun.person	Olham
noun.person	Peters
verb.change	wrinkled
verb.creation	preparing
noun.communication	citation
noun.person	Peters
noun.communication	understanding
verb.stative	requires
noun.communication	key
noun.location	Moon base
noun.communication	notified
noun.person	Peters
verb.contact	land
noun.state	jeopardy
noun.person	Olham
verb.perception	blanked
noun.person	Olham
noun.substance	protec
noun.shape	bubble
noun.person	Peters
noun.act	hurry
verb.motion	rumbling
noun.person	Nelson
verb.social	Take
noun.person	Peters
noun.person	Olham
noun.person	Olham
noun.person	Mary
verb.communication	letting
noun.artifact	vidscreen
noun.person	Nelson
noun.person	Peters
noun.location	Moonward
verb.motion	turned over
noun.person	Olham
noun.person	Peters
verb.communication	let off
noun.person	robot
noun.person	Peters
noun.person	Olham
verb.contact	detonated
verb.cognition	conjectured
noun.communication	spoken
verb.change	entering
verb.body	resemble
noun.person	Olham
noun.substance	chalk
verb.creation	impersonate
noun.person	Spence Olham
noun.person	official
noun.group	research Projects
noun.act	Project
noun.act	Project
noun.person	Olham
verb.competition	located
noun.person	Olham
verb.social	released
noun.time	weekend
noun.person	Olham
noun.person	Olham
noun.person	Nelson
verb.perception	recognize
noun.location	University
noun.person	Nelson
verb.change	Stay
noun.person	Nelson
verb.communication	snarled
noun.person	Ted
noun.person	Nelson
noun.person	Olham
noun.person	Nelson
verb.social	gone wrong
noun.person	Peters
noun.person	Olham
verb.motion	Take
noun.act	X - ray
noun.person	Neither Peters
noun.person	Nelson
noun.person	Olham
noun.person	Peters
noun.person	Spence Olham
noun.person	Olham
noun.cognition	memory system
noun.cognition	interests
noun.artifact	U - Bomb
noun.person	Peters
noun.object	Moon
verb.contact	disassemble
noun.person	Olham
noun.person	Nelson
verb.motion	lay back
noun.object	Moon
noun.person	Peters
noun.artifact	demolition
noun.food	bits
verb.contact	pull off
noun.person	Olham
noun.person	Nelson
noun.person	Mary
verb.communication	thought
verb.communication	contact
noun.person	Peters
verb.motion	bumping
noun.person	Olham
noun.person	Spence Olham
verb.motion	Bring
noun.group	squad
noun.person	Nelson
noun.person	Olham
noun.person	Peters
noun.artifact	pressure suit
noun.person	Nelson
noun.person	Nelson
noun.artifact	pressure suit
noun.person	Olham
noun.person	Peters
noun.person	Robots
noun.person	Peters
verb.communication	signaled
noun.person	Olham
noun.person	Nelson
noun.person	Olham
verb.contact	tighten
noun.artifact	rod
verb.motion	rush out
verb.contact	hurrying
noun.state	guilt
noun.person	Nelson
noun.person	Nelson
noun.event	wedding
noun.person	Nelson
noun.person	Nelson
noun.event	plagues
verb.cognition	shown
noun.act	hesitation
verb.communication	blame
verb.social	sacrificed
noun.person	Olham
noun.person	Nelson
noun.person	Olham
verb.communication	Go ahead
noun.person	Olham
noun.act	Run
noun.artifact	pressure suits
noun.person	Peters
noun.person	Nelson
noun.person	Olham
noun.artifact	pressure system
verb.motion	chugged
verb.change	restoring
noun.person	Olham
noun.person	Olham
noun.artifact	control board
verb.contact	moved
verb.motion	rose up
noun.person	Olham
verb.communication	murmured
noun.event	crickets
verb.perception	chirped
verb.emotion	disturbing
noun.person	Olham
verb.motion	bent over
noun.artifact	vidscreen
noun.communication	sigh
noun.person	Mary
noun.person	Spence
noun.location	Project
noun.person	Dr Chamberlain
verb.motion	Bring
verb.possession	Have
noun.artifact	X - ray
