supersense_category	values	
noun.person	4213	25.56%
noun.artifact	2837	17.21%
noun.location	1093	6.63%
verb.contact	919	5.58%
verb.motion	767	4.65%
noun.communication	659	4.00%
noun.substance	602	3.65%
noun.body	456	2.77%
noun.act	428	2.60%
noun.group	412	2.50%
verb.change	390	2.37%
verb.communication	355	2.15%
noun.attribute	260	1.58%
verb.perception	241	1.46%
noun.cognition	218	1.32%
verb.social	215	1.30%
verb.stative	210	1.27%
verb.body	179	1.09%
noun.quantity	176	1.07%
verb.possession	166	1.01%
verb.cognition	165	1.00%
noun.animal	151	0.92%
noun.state	141	0.86%
noun.object	138	0.84%
noun.event	125	0.76%
verb.creation	114	0.69%
noun.possession	108	0.66%
noun.food	104	0.63%
noun.time	94	0.57%
noun.phenomenon	83	0.50%
verb.emotion	80	0.49%
verb.consumption	69	0.42%
noun.plant	66	0.40%
noun.shape	63	0.38%
noun.feeling	54	0.33%
verb.competition	46	0.28%
verb.weather	32	0.19%
noun.process	22	0.13%
noun.relation	15	0.09%
noun.Tops	12	0.07%
noun.motive	6	0.04%
	16484	
