supersense_category	text
noun.person	Chrome
noun.artifact	malls
noun.artifact	plazas
noun.animal	moths
verb.contact	batting
noun.substance	neon
noun.person	Bobby
noun.body	loft
noun.artifact	monitor
noun.artifact	LEDs
noun.artifact	face
noun.artifact	matrix
noun.artifact	simulator
noun.object	chip
noun.person	Bobby
noun.artifact	simulator
noun.group	workaday Ono
noun.location	Sendai VII
noun.location	Cyberspace Seven
verb.change	rebuilt
noun.quantity	square
noun.quantity	millimeter
noun.artifact	simulator
noun.person	Bobby
verb.motion	leaning
noun.cognition	program
noun.artifact	heel
noun.person	kid
noun.artifact	arcade game
verb.competition	winning
verb.change	pull down
noun.group	string
noun.act	games
noun.substance	phosphenes
verb.motion	boiled
noun.act	field
noun.artifact	D chessboard
noun.communication	Russian program
verb.motion	lurch
noun.substance	matrix
noun.event	surf
noun.cognition	program
verb.cognition	designed
verb.contact	absorb
verb.change	present
noun.state	priority
verb.stative	encountered
noun.communication	Congratulations
noun.person	Bobby
noun.location	Eastern Seaboard
noun.group	Fission Authority
noun.cognition	probe
noun.plant	fiberoptic
noun.attribute	equivalent
noun.artifact	fire siren
noun.artifact	simulation matrix
verb.motion	rush
noun.location	Chrome
noun.location	data base
noun.artifact	Walls
noun.substance	Chrome
noun.body	childface
noun.artifact	trench
verb.consumption	cooked
noun.body	cancers
noun.artifact	custom
noun.event	variations
noun.person	Chrome
verb.change	blotted
noun.person	Rikki
noun.person	Rikki
verb.perception	slanted
noun.artifact	loft
noun.group	grid
noun.artifact	camouflage
noun.artifact	fatigues
noun.artifact	sandals
noun.substance	nylon
noun.artifact	gear bag
noun.act	curl
verb.body	tickle
verb.contact	buttoning
noun.person	Bobby
noun.artifact	cotton
verb.body	smiles
noun.person	Son of a bitch
noun.person	Bobby
noun.person	Chrome
noun.group	IRS
noun.possession	audit
noun.group	Supreme Court
noun.act	subpoenas
verb.contact	Hang on
noun.body	ass
noun.person	Jack
noun.person	Rikki
noun.artifact	halls
noun.location	Chrome
noun.person	Bobby
noun.person	cowboy
noun.act	game
noun.location	ICE
noun.group	Instrusion Countermeasures Electronics
noun.cognition	representation
noun.relation	relationships
noun.group	data systems
noun.person	programmers
verb.motion	jack
noun.person	employers
noun.location	sector
noun.person	selves
noun.location	geometries
verb.stative	representing
noun.location	Towers
verb.stative	ranged
noun.location	nonspace
noun.act	simulation
noun.communication	consensus
verb.social	facilitates
noun.act	handling
noun.Tops	quantities
noun.person	programmers
verb.social	screen
noun.person	hustlers
noun.person	Bobby Quine
noun.person	Bobby
noun.person	cowboy
noun.person	Bobby
noun.person	cracksman
noun.person	burglar
verb.competition	casing
noun.artifact	nervous system
verb.change	rustling
noun.possession	credit
noun.location	nonspace
noun.Tops	concentrations
noun.person	Bobby
noun.person	faces
noun.location	Gentleman Loser
noun.person	cowboys
noun.person	rustlers
noun.person	partners
noun.person	Bobby Quine
noun.person	Automatic Jack
noun.person	Bobby
noun.person	dude
noun.person	Jack
noun.person	guy
noun.person	Bobby
noun.person	Jack
noun.person	Bobby
verb.competition	punches
noun.person	Jack
verb.possession	runs down
noun.quantity	edge
noun.person	Gentleman Loser
noun.person	Bobby
noun.person	Bobby
noun.attribute	edge
verb.motion	slowing down
noun.person	Bobby
noun.person	cowboy
noun.cognition	score
noun.artifact	gear
noun.person	Bobby
noun.act	licks
noun.communication	pat
verb.motion	sit back
noun.artifact	sweatband
verb.contact	whip
noun.body	keyboards
verb.contact	punching
noun.person	Bobby
noun.person	guy
noun.possession	rent
noun.person	Bobby
noun.communication	tarot
noun.act	touch
noun.person	Gentleman Loser
verb.contact	sit
verb.motion	slide by
noun.object	bugs
noun.substance	neon
noun.artifact	perfume
noun.artifact	fast food
noun.artifact	sunglasses
verb.contact	scanning
noun.person	Rikki
verb.cognition	waiting
noun.person	wild card
noun.person	luck changer
verb.cognition	check out
noun.artifact	market
noun.substance	software
noun.person	Finn
noun.artifact	hologram
noun.location	METRO
noun.animal	dead flies
noun.artifact	coats
noun.substance	scrap
noun.object	drifts
noun.substance	junk
noun.artifact	pressboard
noun.artifact	skin
noun.group	National Geographic
noun.person	Finn
verb.creation	tailoring
noun.artifact	highspeed
verb.communication	burrowing
noun.group	Smith and Wesson
noun.group	Tactical
verb.possession	Got
noun.artifact	projector
verb.contact	slung
noun.artifact	light source
verb.perception	spot
noun.act	nightfight
verb.contact	clunk
verb.contact	drumming
noun.artifact	servos
verb.perception	whining
noun.animal	mosquitoes
noun.person	Finn
verb.communication	looking
verb.possession	pawn
verb.contact	prodded
noun.substance	Duralumin
noun.body	wrist joint
noun.artifact	pen
noun.artifact	guns
noun.person	Finn
verb.stative	quit
noun.artifact	item
noun.person	kids
noun.location	Jersey
noun.person	Finn
noun.person	ass
noun.artifact	mailer
noun.communication	audio cassette
noun.artifact	padding
noun.communication	passport
noun.communication	credit cards
noun.person	Tbey
noun.communication	passport
noun.artifact	furnace
verb.contact	Put
noun.group	cards
noun.person	Porsche
noun.cognition	program
noun.artifact	mailer
noun.artifact	magazine
noun.artifact	assault rifle
verb.contact	coated
noun.artifact	edges
verb.motion	knocking around
noun.person	Jack
noun.time	old times
verb.body	smile
verb.possession	Getting
noun.person	Finn
verb.change	repealing
noun.state	gravity
noun.artifact	suitcase
noun.quantity	blocks
noun.artifact	airport
noun.state	emergency
noun.artifact	sewage controls
noun.location	Leningrad
noun.artifact	suburb
noun.person	Finn
noun.person	yahoos
noun.location	Jersey
noun.location	Kremlin
noun.person	Bodiless
noun.location	Chrome
noun.artifact	castle
verb.perception	feels
verb.stative	surfing
noun.cognition	program
noun.location	glitch
noun.substance	systems
verb.change	mutate
noun.shape	patches
noun.substance	oil
noun.group	bodies
noun.artifact	loft
noun.time	microseconds
verb.motion	pull out
noun.possession	audit
noun.act	subpoenas
noun.act	defenses
verb.cognition	geared
noun.act	intrusion
verb.social	fend off
noun.communication	warrants
noun.communication	writs
noun.communication	subpoenas
verb.competition	breached
noun.group	core
noun.attribute	leagues
noun.object	mazes
noun.location	landlines
verb.stative	spurted
noun.group	May Day
noun.group	law firms
noun.cognition	parameter
noun.act	glitch
noun.artifact	systems
verb.motion	gobble
noun.communication	distress calls
noun.artifact	subprograms
verb.perception	scan
verb.change	blanked
noun.group	core
noun.cognition	program
verb.contact	lifts
noun.communication	Tokyo number
verb.cognition	choosing
noun.time	frequency
noun.person	Chrome
verb.change	returned
noun.person	Bobby
noun.communication	scrambler call
noun.person	pal
noun.location	Japan
noun.person	Mat
noun.act	Ride
noun.person	cowboy
noun.person	Bobby
noun.act	omens
noun.act	changes
verb.stative	sit
noun.location	Gentleman Loser
noun.location	loft
verb.contact	shaving
noun.object	chip
noun.animal	waldo
noun.plant	stump
noun.person	Bobby
verb.contact	clipped
noun.substance	carbon
noun.artifact	studs
verb.stative	stick
noun.body	stump
noun.person	Right
noun.person	Automatic Jack
noun.person	Rikki
verb.change	letting
verb.stative	spending
noun.body	freckles
noun.shape	bridge
verb.motion	somewhere
noun.attribute	amber
noun.group	French
noun.artifact	jeans
verb.stative	matched
noun.artifact	sandals
noun.location	sprawl
noun.state	smoke
noun.artifact	hologram
verb.body	hoods
verb.weather	blown in
verb.competition	wave
noun.person	Bobby
noun.act	show
verb.contact	rooting
noun.artifact	audio cassettes
noun.person	cowboy
verb.contact	unclipping
verb.consumption	want
noun.artifact	hinge
noun.artifact	cassette
noun.time	Tomorrow
verb.motion	pulling
noun.person	Bobby
noun.communication	fortune cookie
verb.body	yawned
noun.person	Chrome
noun.artifact	castle
verb.change	dissolving
noun.object	sheets
verb.change	flickering
verb.change	fading
noun.state	glitch
noun.artifact	systems
verb.stative	spin out
noun.cognition	program
verb.motion	tumbling
noun.act	thrust
verb.contact	infecting
noun.state	glitch
noun.artifact	systems
