supersense_category	values	
noun.act	667	4.37%
noun.animal	314	2.06%
noun.artifact	1297	8.51%
noun.attribute	590	3.87%
noun.body	158	1.04%
noun.cognition	624	4.09%
noun.communication	1015	6.66%
noun.event	330	2.16%
noun.feeling	214	1.40%
noun.food	46	0.30%
noun.group	314	2.06%
noun.location	1392	9.13%
noun.motive	5	0.03%
noun.object	666	4.37%
noun.person	2055	13.48%
noun.phenomenon	91	0.60%
noun.plant	128	0.84%
noun.possession	22	0.14%
noun.process	52	0.34%
noun.quantity	83	0.54%
noun.relation	65	0.43%
noun.shape	62	0.41%
noun.state	366	2.40%
noun.substance	302	1.98%
noun.time	240	1.57%
noun.Tops	124	0.81%
verb.body	79	0.52%
verb.change	405	2.66%
verb.cognition	431	2.83%
verb.communication	723	4.74%
verb.competition	45	0.30%
verb.consumption	50	0.33%
verb.contact	357	2.34%
verb.creation	199	1.31%
verb.emotion	248	1.63%
verb.motion	418	2.74%
verb.perception	203	1.33%
verb.possession	133	0.87%
verb.social	244	1.60%
verb.stative	479	3.14%
verb.weather	11	0.07%
