supersense_category	values
noun.act	0
noun.animal	0
noun.artifact	0
noun.attribute	0
noun.body	0
noun.cognition	0
noun.communication	0
noun.event	0
noun.feeling	0
noun.food	0
noun.group	0
noun.location	0
noun.motive	0
noun.object	0
noun.person	0
noun.phenomenon	0
noun.plant	0
noun.possession	0
noun.process	0
noun.quantity	0
noun.relation	0
noun.shape	0
noun.state	0
noun.substance	0
noun.time	0
noun.Tops	0
verb.body	0
verb.change	0
verb.cognition	0
verb.communication	0
verb.competition	0
verb.consumption	0
verb.contact	0
verb.creation	0
verb.emotion	0
verb.motion	0
verb.perception	0
verb.possession	0
verb.social	0
verb.stative	0
verb.weather	0
