supersense_category	values	
noun.person	1491	33.77%
noun.artifact	390	8.83%
noun.communication	239	5.41%
verb.communication	232	5.25%
noun.group	212	4.80%
verb.motion	197	4.46%
verb.contact	172	3.90%
verb.social	146	3.31%
noun.act	130	2.94%
noun.location	126	2.85%
verb.cognition	124	2.81%
verb.change	123	2.79%
verb.perception	65	1.47%
noun.cognition	64	1.45%
verb.body	61	1.38%
noun.substance	59	1.34%
noun.state	57	1.29%
noun.attribute	53	1.20%
verb.possession	52	1.18%
verb.stative	49	1.11%
noun.body	35	0.79%
noun.animal	34	0.77%
noun.quantity	30	0.68%
noun.time	30	0.68%
verb.creation	29	0.66%
noun.event	29	0.66%
verb.emotion	28	0.63%
verb.competition	25	0.57%
noun.feeling	24	0.54%
verb.consumption	21	0.48%
noun.possession	18	0.41%
noun.object	17	0.39%
noun.food	14	0.32%
noun.shape	10	0.23%
noun.phenomenon	8	0.18%
noun.plant	7	0.16%
noun.relation	6	0.14%
noun.Tops	4	0.09%
noun.motive	2	0.05%
noun.process	1	0.02%
verb.weather	1	0.02%
