	supersense_category	
noun.act	91	4.04%
noun.animal	14	0.62%
noun.artifact	248	11.01%
noun.attribute	45	2.00%
noun.body	28	1.24%
noun.cognition	46	2.04%
noun.communication	146	6.48%
noun.event	23	1.02%
noun.feeling	21	0.93%
noun.food	11	0.49%
noun.group	97	4.31%
noun.location	81	3.60%
noun.motive	2	0.09%
noun.object	9	0.40%
noun.person	258	11.45%
noun.phenomenon	7	0.31%
noun.plant	5	0.22%
noun.possession	18	0.80%
noun.process	1	0.04%
noun.quantity	21	0.93%
noun.relation	4	0.18%
noun.shape	8	0.36%
noun.state	50	2.22%
noun.substance	33	1.46%
noun.time	24	1.07%
noun.Tops	4	0.18%
verb.body	48	2.13%
verb.change	94	4.17%
verb.cognition	97	4.31%
verb.communication	152	6.75%
verb.competition	16	0.71%
verb.consumption	17	0.75%
verb.contact	132	5.86%
verb.creation	25	1.11%
verb.emotion	23	1.02%
verb.motion	135	5.99%
verb.perception	51	2.26%
verb.possession	32	1.42%
verb.social	100	4.44%
verb.stative	35	1.55%
verb.weather	1	0.04%
	2253	
