	Characters	occourencesCount	possCount	agentCount	patientCount	modCount
0	Rick	2020	157	387	109	26
1	Rachael	483	61	155	29	11
2	Isidore	473	49	176	37	11
3	Phil Resch	333	36	105	16	7
4	Luba Luft	248	31	77	28	9
5	Pris	224	32	74	13	4
6	Roy Baty	215	24	87	9	9
7	Mercer	199	10	65	16	14
8	Isidore	166	18	82	8	1
9	Garland	146	19	66	13	4
10	Bryant	145	18	62	6	3
11	Iran	135	18	55	6	3
12	Isidore	101	7	42	7	3
13	Mr. Sloat	98	16	36	8	3
14	Eldon Rosen	95	11	42	7	3
15	Irmgard	95	7	42	2	1
16	Buster Friendly	94	12	30	11	4
17	Dave	90	11	27	10	1
18	Milt	60	4	32	1	1
19	Mr. Deckard	47	4	6	2	4
20	Polokov	45	5	10	6	3
21	Officer Crams	41	1	26	1	0
22	Barbour	38	3	17	1	0
23	Polokov	32	5	5	5	2
24	Polokov	28	0	11	9	0
25	Amanda Werner	27	4	12	3	0
26	Kadalyi	23	2	6	2	1
27	Horace	22	2	5	5	2
28	Sidney	20	9	3	2	0
29	Mrs. Pilsen	20	4	4	1	1
30	Miss Marsten	17	2	9	0	0
31	Mrs. Klugman	16	2	10	0	0
32	Ed	14	1	10	0	1
33	Judy	13	2	1	8	1
34	Mercerism	11	1	4	0	1
35	Dr. Costa	11	0	8	1	0
36	Rachael	10	0	3	1	0
37	Mr. Bryant	9	1	3	1	1
38	Mr. Ackers	9	3	2	0	1
39	Ann Marsten	8	1	4	1	0
40	Officer Deckard	8	1	2	0	1
41	Ants	8	0	3	0	1
42	the Batys	8	0	3	0	0
43	Cortot	8	1	3	1	0
44	Al Jarry	8	1	2	0	0
45	Groucho	7	0	3	2	0
46	Mr. Kadalyi	7	1	5	0	0
47	Mozart	7	3	3	0	0
48	Pamina	7	4	1	2	0
49	Mrs. Baty	6	1	1	2	0
50	Mercer	5	0	2	0	0
51	Mr. Holden	5	1	1	2	0
52	Dr. McRae	5	0	2	1	0
53	J.R.	5	0	2	0	0
54	Sheep	4	0	3	0	0
55	God	4	0	0	0	0
56	W.P.O.	4	0	1	2	1
57	Miss Rosen	4	0	0	0	0
58	Wheelright & Carpenter	4	0	0	0	0
59	Rachel Rosen	4	2	2	0	0
60	Mr. Baty	4	0	1	0	1
61	A Mercerite	3	0	2	0	1
62	Kampff	3	1	2	0	0
63	Han	3	0	0	0	0
64	Papageno	3	1	1	0	0
65	MISS LUFT PRIVATE	3	0	2	1	0
66	Mr. Resch	3	0	0	0	1
67	Edvard Munch	3	2	0	0	0
68	Mr. Jarry	3	1	1	0	0
69	Tu'imalila	2	1	0	0	0
70	Puzzled	2	0	0	0	0
71	Fred Washborne	2	1	0	0	0
72	Oakes	2	1	1	0	0
73	Frank	2	0	0	0	0
74	Miss Wild	2	0	1	0	0
75	Elisabeth Schwarzkopf	2	0	0	0	0
76	Popageno	2	1	1	0	0
77	Miss French	2	0	1	0	0
78	Buffy	2	0	2	0	0
79	Mars	2	0	0	0	0
80	Roy Baty-	2	0	0	0	0
81	Horst Hartman	2	0	1	1	0
82	Anders	2	0	0	1	0
83	Irm	2	1	0	0	0
84	Franklin Powers	2	0	1	0	0
85	Oscar Scruggs	2	0	0	0	0
86	Harrv Bryant	2	0	1	1	0
87	Dr. Johnson Snuff	2	0	0	0	0
