	sentence_ID	eventCount
0	0	3
1	1	4
2	2	5
3	3	1
4	4	3
5	5	1
6	6	3
7	7	2
8	8	0
9	9	0
10	10	0
11	11	1
12	12	1
13	13	1
14	14	0
15	15	1
16	16	0
17	17	1
18	18	0
19	19	4
20	20	0
21	21	2
22	22	1
23	23	0
24	24	1
25	25	0
26	26	0
27	27	0
28	28	0
29	29	1
30	30	0
31	31	2
32	32	4
33	33	2
34	34	1
35	35	2
36	36	0
37	37	0
38	38	0
39	39	0
40	40	0
41	41	2
42	42	1
43	43	4
44	44	1
45	45	0
46	46	3
47	47	1
48	48	1
49	49	0
50	50	1
51	51	1
52	52	0
53	53	1
54	54	1
55	55	0
56	56	2
57	57	0
58	58	0
59	59	1
60	60	1
61	61	0
62	62	0
63	63	1
64	64	0
65	65	1
66	66	2
67	67	1
68	68	0
69	69	5
70	70	2
71	71	0
72	72	1
73	73	0
74	74	0
75	75	2
76	76	0
77	77	0
78	78	0
79	79	1
80	80	0
81	81	0
82	82	1
83	83	2
84	84	1
85	85	0
86	86	1
87	87	4
88	88	0
89	89	1
90	90	0
91	91	0
92	92	0
93	93	0
94	94	0
95	95	0
96	96	0
97	97	1
98	98	0
99	99	0
100	100	1
101	101	0
102	102	5
103	103	0
104	104	0
105	105	3
106	106	0
107	107	1
108	108	0
109	109	0
110	110	1
111	111	1
112	112	0
113	113	0
114	114	1
115	115	0
116	116	0
117	117	1
118	118	0
119	119	0
120	120	0
121	121	1
122	122	0
123	123	0
124	124	0
125	125	1
126	126	3
127	127	1
128	128	1
129	129	1
130	130	1
131	131	0
132	132	0
133	133	2
134	134	1
135	135	0
136	136	0
137	137	1
138	138	1
139	139	3
140	140	1
141	141	1
142	142	0
143	143	1
144	144	2
145	145	1
146	146	0
147	147	0
148	148	2
149	149	3
150	150	1
151	151	0
152	152	2
153	153	1
154	154	1
155	155	1
156	156	0
157	157	1
158	158	2
159	159	0
160	160	0
161	161	0
162	162	1
163	163	0
164	164	0
165	165	2
166	166	3
167	167	1
168	168	0
169	169	0
170	170	0
171	171	1
172	172	0
173	173	1
174	174	1
175	175	1
176	176	0
177	177	1
178	178	0
179	179	0
180	180	1
181	181	2
182	182	4
183	183	4
184	184	1
185	185	0
186	186	0
187	187	0
188	188	0
189	189	0
190	190	1
191	191	0
192	192	0
193	193	0
194	194	0
195	195	1
196	196	0
197	197	0
198	198	0
199	199	1
200	200	1
201	201	2
202	202	1
203	203	2
204	204	4
205	205	2
206	206	0
207	207	0
208	208	1
209	209	4
210	210	0
211	211	1
212	212	0
213	213	2
214	214	0
215	215	1
216	216	1
217	217	0
218	218	1
219	219	0
220	220	0
221	221	0
222	222	1
223	223	0
224	224	0
225	225	0
226	226	2
227	227	0
228	228	0
229	229	1
230	230	0
231	231	2
232	232	0
233	233	0
234	234	1
235	235	1
236	236	1
237	237	2
238	238	0
239	239	3
240	240	0
241	241	1
242	242	0
243	243	0
244	244	1
245	245	0
246	246	1
247	247	0
248	248	1
249	249	0
250	250	0
251	251	0
252	252	1
253	253	0
254	254	0
255	255	1
256	256	1
257	257	0
258	258	1
259	259	0
260	260	1
261	261	0
262	262	1
263	263	2
264	264	0
