	supersense_category	
noun.Tops	69	0.17%
noun.act	937	2.33%
noun.animal	244	0.61%
noun.artifact	5967	14.82%
noun.attribute	761	1.89%
noun.body	2231	5.54%
noun.cognition	710	1.76%
noun.communication	1486	3.69%
noun.event	294	0.73%
noun.feeling	179	0.44%
noun.food	167	0.41%
noun.group	795	1.97%
noun.location	1769	4.39%
noun.motive	13	0.03%
noun.object	416	1.03%
noun.person	4908	12.19%
noun.phenomenon	210	0.52%
noun.plant	118	0.29%
noun.possession	200	0.50%
noun.process	41	0.10%
noun.quantity	344	0.85%
noun.relation	70	0.17%
noun.shape	153	0.38%
noun.state	501	1.24%
noun.substance	1306	3.24%
noun.time	720	1.79%
verb.body	536	1.33%
verb.change	1038	2.58%
verb.cognition	1138	2.83%
verb.communication	2068	5.13%
verb.competition	66	0.16%
verb.consumption	223	0.55%
verb.contact	2064	5.12%
verb.creation	322	0.80%
verb.emotion	304	0.75%
verb.motion	2364	5.87%
verb.perception	1346	3.34%
verb.possession	936	2.32%
verb.social	730	1.81%
verb.stative	2494	6.19%
verb.weather	37	0.09%
