	supersense_category	
noun.act	280	3.46%
noun.animal	97	1.20%
noun.artifact	1443	17.85%
noun.attribute	174	2.15%
noun.body	202	2.50%
noun.cognition	117	1.45%
noun.communication	416	5.15%
noun.event	87	1.08%
noun.feeling	49	0.61%
noun.food	59	0.73%
noun.group	284	3.51%
noun.location	518	6.41%
noun.motive	4	0.05%
noun.object	102	1.26%
noun.person	956	11.83%
noun.phenomenon	51	0.63%
noun.plant	47	0.58%
noun.possession	60	0.74%
noun.process	15	0.19%
noun.quantity	72	0.89%
noun.relation	12	0.15%
noun.shape	49	0.61%
noun.state	111	1.37%
noun.substance	328	4.06%
noun.time	65	0.80%
noun.Tops	9	0.11%
verb.body	115	1.42%
verb.change	272	3.37%
verb.cognition	121	1.50%
verb.communication	251	3.11%
verb.competition	38	0.47%
verb.consumption	47	0.58%
verb.contact	519	6.42%
verb.creation	73	0.90%
verb.emotion	50	0.62%
verb.motion	436	5.39%
verb.perception	139	1.72%
verb.possession	90	1.11%
verb.social	154	1.91%
verb.stative	153	1.89%
verb.weather	18	0.22%
	8083	
