	Characters	occourencesCount	possCount	agentCount	patientCount	modCount
0	Case	3595	325	568	168	75
1	Molly	1022	135	258	57	15
2	Maelcum	300	55	116	21	8
3	Riviera	283	49	100	18	12
4	Armitage	237	39	77	20	7
5	the Finn	157	32	58	10	4
6	Deane	153	32	56	9	9
7	Linda	129	28	38	13	0
8	Ratz	113	28	34	10	1
9	Wintermute	110	8	40	15	7
10	Wage	55	5	24	6	1
11	Cath	53	14	22	1	1
12	Corto	51	10	20	5	2
13	Armitage	46	7	11	7	4
14	Aerol	39	7	17	4	0
15	Zone	37	13	15	2	2
16	Hideo	33	3	15	2	0
17	Smith	32	3	20	1	2
18	Terzibashjian	32	10	19	0	0
19	Roland	32	7	16	3	1
20	Smith	31	7	17	0	4
21	Johnny	30	5	8	4	1
22	Dixie	29	1	4	5	3
23	Bruce	29	6	11	3	0
24	Corto	28	8	8	3	1
25	Pierre	27	7	9	2	1
26	Lupus	24	4	5	1	1
27	McCoy Pauley	23	6	6	2	1
28	Ar- mitage	23	4	10	1	1
29	Marcus Garvey	23	4	5	3	1
30	3Jane	23	6	9	2	0
31	Dix	22	1	5	1	4
32	the Hosaka	19	4	8	3	0
33	Michele	18	0	7	1	1
34	the Flatline	16	4	7	1	1
35	Kuang	16	3	6	3	0
36	Larry	15	5	4	1	0
37	Christ	14	0	2	1	0
38	Jimmy	14	2	6	1	3
39	Jane	14	5	3	2	1
40	Haniwa	14	5	4	0	2
41	Deane	12	3	4	1	2
42	Straylight	12	3	5	2	2
43	Garvey	12	3	2	1	1
44	Hideo	11	3	4	3	0
45	Mute	10	0	7	0	0
46	The Zionite	10	4	6	1	1
47	Marlene	10	3	1	1	0
48	Shin	9	2	4	1	0
49	The Braun	9	0	11	1	0
50	the Moderns	8	2	1	1	2
51	God	8	0	3	0	1
52	Linda	8	1	2	0	0
53	Kurt	6	1	1	1	0
54	Screaming Fist	6	0	1	0	0
55	Cat Mother	6	0	1	0	0
56	Brood	6	0	0	0	0
57	Honey	6	0	4	0	0
58	Mahmut	6	2	2	1	0
59	Razor	6	0	0	1	0
60	Turing	6	1	0	0	0
61	Old Ashpool	6	1	3	0	1
62	Neuromancer	6	0	1	1	1
63	Snake Man	5	0	4	0	0
64	Cutter	5	0	1	0	0
65	Ri- viera	5	0	3	0	0
66	SAS	5	0	0	3	0
67	Mon	5	0	0	0	0
68	Mael- cum	5	1	1	0	0
69	Remington	5	1	3	0	0
70	Net	4	0	2	1	0
71	Rat	4	0	1	0	0
72	Ali	4	0	2	0	0
73	Zion	4	1	2	0	0
74	the Zionites	4	0	3	1	0
75	Babylon	4	0	0	1	0
76	General Girling	4	0	0	2	0
77	the Yakuza	3	0	1	0	0
78	Mao	3	0	0	0	0
79	Mole IX	3	0	0	1	0
80	Arrnitage	3	0	3	0	0
81	Sammi	3	0	0	0	1
82	Tally Isham	3	0	1	0	0
83	Dr. Virginia Rambali	3	2	1	0	0
84	Angelo	3	1	1	0	0
85	Rapids	3	1	2	0	0
86	Yonder boy	3	1	1	1	0
87	Berne	3	0	0	1	0
88	Terzi	3	0	2	1	0
89	Operators	3	1	2	0	0
90	Jules Verne	3	0	1	0	0
91	Desiderata	3	0	0	0	0
92	the Yak	3	0	1	1	0
93	Case	3	0	2	0	0
94	CASE CASE CASE CASE	3	1	0	1	0
95	One	3	0	2	0	0
96	Green	3	1	1	0	0
97	Bobby Quine	2	0	1	1	0
98	Ninsei	2	0	1	1	0
99	Wizard	2	1	0	0	0
100	Mona	2	1	0	0	0
101	Sims Tim	2	0	0	1	0
102	Matsuga	2	0	1	0	0
103	Artiste	2	0	0	0	0
104	Ovine	2	0	0	1	0
105	Simstim	2	0	1	0	0
106	the Scientists	2	0	0	0	0
107	MAX EMERG	2	0	0	1	0
108	the Modern	2	1	1	0	0
109	Tommy	2	0	2	0	0
110	Bell	2	0	4	0	0
111	Lady	2	0	0	1	0
112	Arabs	2	0	1	0	0
113	Elroy	2	0	0	0	0
114	Jah	2	0	0	0	0
115	Sister	2	0	1	0	0
116	Bonn	2	0	0	1	0
117	Rio	2	0	0	0	0
118	Rollo	2	1	0	0	0
119	Lindas	2	0	0	1	1
120	Win- termute	2	0	1	0	0
121	Lady 3Jane	2	0	0	0	0
122	Hadda	2	0	1	0	0
123	Zen spiders	2	0	0	0	0
124	Russian	2	0	0	1	0
125	Omaha Thunder	2	0	0	0	0
126	Yacht	2	0	0	0	0
127	T - A	2	0	0	0	2
128	Daddy	2	1	0	0	0
