	Characters	occourencesCount	possCount	agentCount	patientCount	modCount
0	Lake	156	39	64	6	6
1	Danforth	128	18	57	8	6
2	the Old Ones	37	12	16	1	0
3	Pabodie	24	4	9	0	2
4	Gedney	17	0	5	1	0
5	Capt . Douglas	11	2	6	2	0
6	Sherman	11	2	6	2	0
7	McTighe	11	2	4	1	1
8	Carroll	8	1	4	0	0
9	Moulton	6	1	3	1	0
10	Nicholas Roerich	5	1	1	0	0
11	Poe	5	2	1	0	0
12	Ropes	5	0	1	0	0
13	Atwood	4	0	1	0	0
14	Dyer	4	0	4	2	0
15	Cthulhu	4	0	2	0	0
16	Scott	3	0	0	0	0
17	Byrd	3	0	2	0	0
18	the Mi - Go	3	0	2	0	0
19	Sir Douglas Mawson	3	2	0	1	0
20	Amundsen	2	0	2	0	0
21	Georg Thorfinnssen	2	0	0	0	0
22	the Arkham	2	0	1	0	0
23	Fowler	2	0	1	0	0
24	Mills	2	0	3	0	0
25	Abdul Alhazred	2	1	1	0	0
26	Taylor	2	0	1	0	0
27	Orpheus	2	0	1	0	0
28	God	2	0	0	1	0
