	Characters	occourencesCount	possCount	agentCount	patientCount	modCount
0	Wilcox	71	27	31	7	0
1	Legrasse	38	10	13	2	1
2	Johansen	35	9	15	5	2
3	Professor Angell	23	6	12	2	1
4	Johansen	23	6	19	1	0
5	Johansen	22	9	9	3	2
6	great Cthulhu	20	7	3	4	1
7	Castro	16	0	10	2	1
8	Professor Webb	11	1	4	2	0
9	Henry Anthony Wilcox	10	1	6	2	1
10	Briden	7	1	7	1	0
11	Donovan	7	1	6	1	0
12	the Great Ones	6	0	3	1	0
13	the Emma	6	1	0	3	0
14	God	5	0	3	1	0
15	Cthulhu fhtagn	3	0	1	0	0
16	Rodriguez the Portuguese	3	0	1	1	0
17	Dr. Tobey	2	0	1	0	0
18	Capt . Collins	2	0	1	0	0
19	Hawkins	2	0	2	0	0
