	supersense_category	
noun.act	387	4.95%
noun.animal	169	2.16%
noun.artifact	595	7.61%
noun.attribute	324	4.14%
noun.body	103	1.32%
noun.cognition	251	3.21%
noun.communication	502	6.42%
noun.event	186	2.38%
noun.feeling	124	1.59%
noun.food	35	0.45%
noun.group	175	2.24%
noun.location	597	7.64%
noun.motive	5	0.06%
noun.object	238	3.04%
noun.person	753	9.63%
noun.phenomenon	51	0.65%
noun.plant	83	1.06%
noun.possession	20	0.26%
noun.process	34	0.43%
noun.quantity	35	0.45%
noun.relation	35	0.45%
noun.shape	44	0.56%
noun.state	219	2.80%
noun.substance	158	2.02%
noun.time	108	1.38%
noun.Tops	43	0.55%
verb.body	65	0.83%
verb.change	294	3.76%
verb.cognition	247	3.16%
verb.communication	400	5.12%
verb.competition	37	0.47%
verb.consumption	41	0.52%
verb.contact	282	3.61%
verb.creation	121	1.55%
verb.emotion	138	1.76%
verb.motion	282	3.61%
verb.perception	107	1.37%
verb.possession	74	0.95%
verb.social	166	2.12%
verb.stative	282	3.61%
verb.weather	9	0.12%
	7819	
