	supersense_category	text
0	noun.Tops	being
1	noun.state	survival
3	verb.communication	manifest
4	verb.contact	withdraw
5	noun.person	god
6	noun.person	monster
7	noun.person	being
8	noun.cognition	sort
9	noun.person	AlgernonBlackwood
10	noun.location	clay
11	noun.cognition	inability
12	verb.cognition	correlate
13	noun.Tops	content
14	noun.cognition	ignorance
15	noun.location	midst
16	noun.object	blacksea
17	noun.attribute	infinity
18	verb.motion	voyage
19	noun.cognition	science
20	verb.contact	strain
21	verb.emotion	harm
22	verb.contact	piece
23	verb.communication	openup
24	noun.time	vista
25	verb.body	go
26	noun.communication	revelation
27	verb.motion	flee
28	noun.time	darkage
29	noun.person	theosophist
30	noun.attribute	grandeur
31	noun.time	cycle
32	noun.group	humanrace
33	verb.social	form
34	noun.event	incident
35	noun.event	survival
36	verb.creation	mask
37	noun.feeling	optimism
38	noun.animal	aeon
39	verb.emotion	chill
40	verb.emotion	madden
41	verb.creation	dream
42	noun.communication	glimpse
43	noun.state	truth
44	verb.stative	flashout
46	noun.person	professor
48	verb.possession	supply
50	verb.creation	begin
51	noun.person	uncle
52	noun.person	GeorgeGammellAngell
53	noun.person	ProfessorEmeritus
54	noun.group	SemiticLanguages
55	noun.group	BrownUniversity
56	noun.location	providence
57	noun.location	RhodeIsland
58	noun.person	ProfessorAngell
59	noun.communication	inscription
60	verb.social	resort
61	noun.person	head
62	noun.group	museum
63	noun.event	pass
64	verb.change	intensify
65	noun.attribute	obscurity
66	noun.act	cause
68	verb.emotion	stricken
69	noun.location	Newport
70	verb.motion	jostle
71	noun.person	negro
72	noun.artifact	court
73	noun.object	hillside
74	noun.location	waterfront
75	noun.person	decease
76	noun.location	WilliamsStreet
77	noun.person	physician
78	noun.state	disorder
79	verb.cognition	conclude
80	noun.communication	debate
81	noun.state	lesion
82	verb.creation	induce
83	verb.communication	dissent
84	noun.communication	dictum
85	verb.communication	incline
87	noun.person	heir
88	noun.person	executor
89	verb.stative	die
90	noun.person	widower
91	verb.communication	goover
92	noun.attribute	thoroughness
93	verb.communication	correlate
94	verb.communication	publish
95	verb.emotion	shew
96	verb.cognition	occur
97	noun.possession	ring
99	verb.social	succeed
100	verb.competition	confront
101	noun.communication	bas
102	noun.artifact	relief
103	noun.communication	jotting
104	noun.communication	rambling
105	noun.act	cutting
107	noun.act	imposture
108	verb.cognition	searchout
109	noun.person	sculptor
110	noun.event	disturbance
111	noun.feeling	peaceofmind
112	noun.artifact	bas
114	noun.quantity	inch
115	noun.artifact	design
116	noun.artifact	vagary
117	noun.group	cubism
118	noun.communication	futurism
119	verb.creation	reproduce
120	noun.attribute	regularity
121	verb.stative	lurk
122	noun.communication	writing
123	noun.act	writing
124	noun.cognition	familiarity
125	noun.group	collection
127	verb.communication	hintat
128	noun.attribute	affiliation
129	noun.artifact	hieroglyphic
130	noun.act	execution
131	verb.communication	forbid
132	noun.cognition	fancy
133	verb.creation	conceive
134	verb.possession	yield
135	noun.animal	octopus
136	noun.communication	caricature
137	noun.attribute	spirit
138	verb.stative	surmount
139	noun.artifact	whole
141	noun.state	oddity
142	noun.communication	presscutting
144	noun.attribute	pretence
145	noun.communication	character
146	verb.social	avoid
147	noun.act	read
148	noun.communication	manuscript
149	noun.group	section
150	verb.cognition	head
151	noun.person	H.a.Wilcox
152	noun.location	ThomasSt.
154	noun.location	R.I.
155	noun.communication	narrative
156	noun.person	InspectorJohnR.Legrasse
157	noun.location	BienvilleSt.
158	noun.location	NewOrleans
159	noun.location	La.
160	noun.person	a.a.S.mtg.—note
161	noun.person	Prof.Webb
163	noun.communication	account
164	noun.communication	citation
165	noun.person	W.Scott
166	noun.person	Elliot
167	noun.location	Atlantis
168	noun.location	loseLemuria
169	verb.communication	comment
170	noun.group	society
171	noun.Tops	cult
172	noun.communication	reference
173	noun.communication	passage
174	noun.communication	source
175	noun.person	Frazer
176	noun.person	MissMurray
177	noun.location	WesternEurope
178	noun.communication	cutting
179	verb.communication	allude
180	noun.state	mentalillness
181	noun.event	outbreak
182	noun.feeling	folly
183	noun.feeling	mania
185	verb.perception	appear
186	noun.time	March1st
188	verb.stative	bear
189	noun.artifact	bas-relief
190	noun.person	HenryAnthonyWilcox
192	verb.cognition	recognise
193	noun.group	RhodeIslandSchoolofDesign
194	noun.location	Fleur-de-LysBuilding
195	noun.group	institution
196	noun.person	Wilcox
197	noun.cognition	genius
198	noun.attribute	eccentricity
199	verb.emotion	excited
200	verb.communication	relate
201	noun.person	folk
202	verb.communication	dismiss
203	verb.change	drop
204	noun.person	aesthete
205	noun.location	town
206	noun.group	ProvidenceArtClub
207	verb.stative	preserve
208	noun.cognition	conservatism
212	noun.person	host
213	verb.cognition	identify
217	noun.attribute	pose
218	verb.emotion	alienate
219	noun.feeling	sympathy
221	verb.communication	shew
