	Characters	occourencesCount	possCount	agentCount	patientCount	modCount
0	Obed	50	6	21	6	3
1	Kanakys	39	1	17	4	3
2	old Zadok	32	7	11	6	2
3	Zadok	21	7	14	1	1
4	Dagon	20	1	8	3	2
5	Obed Marsh	18	4	8	2	0
6	Matt	15	1	5	1	1
7	Wal	11	0	2	1	1
8	Walter	11	6	1	2	1
9	the Marshes	9	2	7	0	0
10	God	8	0	3	1	0
11	Sargent	7	1	4	0	1
12	Old Man Marsh	7	1	2	1	1
13	Douglas	7	0	3	3	0
14	Miss Tilton	6	0	2	1	0
15	Walakea	5	0	2	1	0
16	Queer old duck	4	1	1	1	0
17	Barnabas Marsh	4	1	1	1	1
18	Eliza Orne of Arkham , who was born in 1867 and had married James Williamson of Ohio at the age of seventeen	4	0	0	1	0
19	Cthulhu fhtagn	3	0	1	0	0
20	Mr. Peabody	3	0	1	0	0
21	Lydia ( Meserve ) Marsh	3	0	0	1	0
22	Hammond	2	0	0	0	0
23	ben	2	0	0	0	0
24	Hiram Gilman agin	2	0	0	1	0
25	Beasts	2	0	2	0	0
26	Pth’thya - l’yi	2	0	2	0	0
27	The Deep Ones	2	0	0	2	0
