	sentence_ID	eventCount
0	0	0
1	1	6
2	2	2
3	3	0
4	4	0
5	5	0
6	6	0
7	7	0
8	8	0
9	9	1
10	10	0
11	11	2
12	12	1
13	13	1
14	14	0
15	15	0
16	16	0
17	17	0
18	18	0
19	19	0
20	20	1
21	21	0
22	22	0
23	23	0
24	24	0
25	25	0
26	26	0
27	27	1
28	28	0
29	29	0
30	30	0
31	31	0
32	32	0
33	33	0
34	34	0
35	35	2
36	36	3
37	37	0
38	38	0
39	39	0
40	40	0
41	41	0
42	42	0
43	43	0
44	44	0
45	45	0
46	46	0
47	47	0
48	48	0
49	49	0
50	50	0
51	51	0
52	52	0
53	53	0
54	54	0
55	55	0
56	56	0
57	57	0
58	58	0
59	59	0
60	60	0
61	61	0
62	62	0
63	63	0
64	64	0
65	65	0
66	66	0
67	67	0
68	68	0
69	69	0
70	70	3
71	71	0
72	72	0
73	73	0
74	74	0
75	75	0
76	76	0
77	77	0
78	78	1
79	79	1
80	80	1
81	81	0
82	82	1
83	83	0
84	84	0
85	85	0
86	86	0
87	87	1
88	88	1
89	89	1
90	90	2
91	91	1
92	92	0
93	93	1
94	94	0
95	95	1
96	96	1
97	97	0
98	98	0
99	99	0
100	100	1
101	101	0
102	102	0
103	103	0
104	104	0
105	105	0
106	106	0
107	107	0
108	108	1
109	109	2
110	110	2
111	111	0
112	112	0
113	113	0
114	114	0
115	115	0
116	116	0
117	117	0
118	118	0
119	119	1
120	120	1
121	121	0
122	122	0
123	123	0
124	124	0
125	125	0
126	126	0
127	127	0
128	128	0
129	129	0
130	130	0
131	131	1
132	132	0
133	133	0
134	134	0
135	135	0
136	136	0
137	137	0
138	138	1
139	139	0
140	140	0
141	141	0
142	142	0
143	143	0
144	144	0
145	145	0
146	146	0
147	147	0
148	148	0
149	149	0
150	150	1
151	151	0
152	152	0
153	153	0
154	154	0
155	155	0
156	156	0
157	157	0
158	158	0
159	159	0
160	160	0
161	161	0
162	162	0
163	163	0
164	164	1
165	165	1
